ID	EMAIL	USER_NAME	DISPLAY_NAME	SHORT_NAME	ROLE	STATUS	PHONE	DON_VI_ID	NOTE	CREATED_AT	CREATED_BY	UPDATED_AT	UPDATED_BY	IS_DELETED
UD_20250322_001	admin@laocong.vn	Nguyễn Văn Admin	Nguyễn Văn Admin	Admin	ADMIN	ACTIVE	0901234001	DV_20250322_001	Quản trị hệ thống	2025-03-22 08:00:00	SYSTEM	2025-03-22 08:00:00	SYSTEM	FALSE
UD_20250322_002	truong.htxa@laocong.vn	Trần Thị Hà	Trần Thị Hà	Hà	OPERATOR	ACTIVE	0901234002	DV_20250322_002	Trưởng HTX A	2025-03-22 08:00:00	SYSTEM	2025-03-22 08:00:00	SYSTEM	FALSE
UD_20250322_003	truong.htxb@laocong.vn	Lê Văn Bình	Lê Văn Bình	Bình	OPERATOR	ACTIVE	0901234003	DV_20250322_003	Trưởng HTX B	2025-03-22 08:00:00	SYSTEM	2025-03-22 08:00:00	SYSTEM	FALSE
UD_20250322_004	phong.vh@laocong.vn	Phạm Minh Cường	Phạm Minh Cường	Cường	OPERATOR	ACTIVE	0901234004	DV_20250322_006	Phụ trách Vận hành	2025-03-22 08:00:00	SYSTEM	2025-03-22 08:00:00	SYSTEM	FALSE
UD_20250322_005	phong.dkdvt@laocong.vn	Hoàng Thị Dung	Hoàng Thị Dung	Dung	OPERATOR	ACTIVE	0901234005	DV_20250322_004	Phụ trách Đội Vận tải	2025-03-22 08:00:00	SYSTEM	2025-03-22 08:00:00	SYSTEM	FALSE
UD_20250322_006	phong.dkdv@laocong.vn	Võ Văn Em	Võ Văn Em	Em	OPERATOR	ACTIVE	0901234006	DV_20250322_005	Phụ trách Đội Dịch vụ	2025-03-22 08:00:00	SYSTEM	2025-03-22 08:00:00	SYSTEM	FALSE
UD_20250322_007	phong.hoso@laocong.vn	Đặng Thị Phương	Đặng Thị Phương	Phương	OPERATOR	ACTIVE	0901234007	DV_20250322_007	Phụ trách Hồ sơ	2025-03-22 08:00:00	SYSTEM	2025-03-22 08:00:00	SYSTEM	FALSE
UD_20250322_008	ketoan@laocong.vn	Ngô Văn Giang	Ngô Văn Giang	Giang	OPERATOR	ACTIVE	0901234008	DV_20250322_008	Kế toán Thu Chi	2025-03-22 08:00:00	SYSTEM	2025-03-22 08:00:00	SYSTEM	FALSE
UD_20250322_009	nv.vh1@laocong.vn	Bùi Văn Hải	Bùi Văn Hải	Hải	OPERATOR	ACTIVE	0901234009	DV_20250322_009	Nhân viên Nhóm VH1	2025-03-22 08:00:00	SYSTEM	2025-03-22 08:00:00	SYSTEM	FALSE
UD_20250322_010	xem@laocong.vn	Lý Thị Xuân	Lý Thị Xuân	Xuân	VIEWER	ACTIVE	0901234010		Chỉ xem báo cáo	2025-03-22 08:00:00	SYSTEM	2025-03-22 08:00:00	SYSTEM	FALSE
UD_20250322_011	viewer2@laocong.vn	Trương Văn Yên	Trương Văn Yên	Yên	VIEWER	ACTIVE	0901234011		Chỉ xem	2025-03-22 08:00:00	SYSTEM	2025-03-22 08:00:00	SYSTEM	FALSE
